TaxonConcept,UUID,TaxonRank,AccordingTo,EIVEres-M,EIVEres-M.nw3,EIVEres-M.n,EIVEres-N,EIVEres-N.nw3,EIVEres-N.n,EIVEres-R,EIVEres-R.nw3,EIVEres-R.n,EIVEres-L,EIVEres-L.nw3,EIVEres-L.n,EIVEres-T,EIVEres-T.nw3,EIVEres-T.n
Gentiana rostanii,7a232a63-58f3-4981-a1e0-3424b0de093c,Species,EuroMed,5.2,2.7,3,2.7,4.1,3,6.0,4.0,3,8.0,4.2,3,1.7,3.5,3
Gentiana septemfida,94aa8de6-950b-4912-b4ed-9e42771befc6,Species,EuroMed,4.4,2.5,1,3.3,2.9,1,5.7,2.8,1,7.5,2.8,1,2.5,2.6,1
Gentiana terglouensis,8b60f712-b265-47c0-9c73-a6c7eba2064e,Species,EuroMed,4.4,5.7,2,2.0,2.9,1,8.2,2.8,1,8.2,2.8,1,0.9,2.6,1
Gentiana terglouensis subsp. schleicheri,a7fbd048-79a1-4861-bc16-6b1766286f0d,Subspecies,EuroMed,3.7,4.0,2,2.2,3.1,2,5.9,3.3,2,8.4,5.0,2,1.0,4.2,2
Gentiana terglouensis subsp. terglouensis,8b60f712-b265-47c0-9c73-a6c7eba2064e,Subspecies,EuroMed,3.3,2.0,2,2.2,3.1,2,8.7,4.4,2,9.6,2.6,2,0.5,3.3,2
Gentiana utriculosa,22341bdf-236d-4d98-9b41-f350a189da19,Species,EuroMed,6.3,4.1,8,2.4,3.5,6,8.2,3.7,7,7.8,3.0,6,3.0,6.0,6
Gentiana verna,d172cbe8-f1de-47c9-9a90-5ae2f472c8fd,Species,EuroMed,4.0,3.4,17,2.4,5.2,14,6.9,4.7,15,8.0,3.0,14,2.6,5.1,12
Gentiana verna aggr.,AG283c5a-3b2e-4d42-bdf1-85a2d7fb6515,Species Aggregate,additionalAggregates,4.2,4.8,17,2.3,4.4,14,7.2,8.5,15,8.2,5.6,14,2.0,8.9,12
Gentiana verna subsp. tergestina,169ef7a4-2910-41b0-b248-6e02146ef735,Subspecies,EuroMed,3.7,2.4,2,2.2,3.1,2,7.6,2.2,2,7.3,2.8,2,4.0,5.8,2
Gentiana verna subsp. verna,8a47dd03-8142-4394-8415-4047f6ca93e6,Subspecies,EuroMed,3.8,3.2,4,2.1,3.3,4,7.4,3.8,4,7.8,3.3,4,1.9,4.4,3
Gentianella amarella,6a33ac43-4c97-4262-bcc0-2ed5086a3abe,Species,EuroMed,4.3,3.7,12,2.9,5.6,9,7.0,5.0,10,7.6,3.5,9,3.1,4.2,9
Gentianella amarella aggr.,AGe9dd0c-4e6b-4537-b569-3fe88cbc91cf,Species Aggregate,additionalAggregates,3.9,1.9,1,1.6,2.4,1,4.9,1.8,1,,,,4.5,1.3,1
Gentianella amarella subsp. amarella,92abdf29-a582-403c-a872-6287d57c9dad,Subspecies,EuroMed,4.8,4.0,2,2.6,2.4,1,7.2,2.4,1,8.2,2.5,1,3.7,2.4,1
Gentianella anglica,91962c9c-c5ad-4912-a479-bcac86062116,Species,EuroMed,2.7,2.5,1,1.9,2.9,1,8.1,2.8,1,8.2,2.8,1,,,
Gentianella anisodonta,8b438cbb-1138-4f05-beb9-d5820d4fde59,Species,EuroMed,3.4,2.1,3,2.5,3.4,3,6.7,6.3,3,8.0,6.5,3,1.5,3.3,3
Gentianella aspera,e7c5e630-a924-4cc4-9d6c-496489020e17,Species,EuroMed,3.6,2.6,5,2.1,2.9,4,8.4,5.1,4,8.5,3.5,4,2.1,4.4,4
Gentianella aurea,7d84caff-0d27-4125-b440-e5c717820d2f,Species,EuroMed,5.8,2.1,2,,,,7.4,2.8,1,8.7,2.8,1,1.3,2.6,1
Gentianella austriaca,b156e371-fde8-48f0-8e23-74d78edae331,Species,EuroMed,4.0,3.2,11,2.1,3.7,7,6.4,4.1,9,7.3,3.2,7,3.4,3.5,10
